source_id,source_name,source_type,source_group,content_mode,authority_level,credibility_level,content_type,research_role,market_scope,access_method,acquisition_mode,update_frequency,latency_class,as_of_date_required,usable_for,url_or_path,last_checked_date,publisher,notes,coverage,upstream_sources
sse_etf_options_delivery_notice_2026_03_25,上交所关于提醒ETF期权合约行权交收日的公告,text,official_exchange,notice,L1,A,fact,primary,CN,web_search,free,event_driven,live,yes,"sse_option_underlyings;510050;510300;510500;588000;588080",https://big5.sse.com.cn/assortment/options/disclo/update/c/c_20260318_10812131.shtml,2026-05-26,上海证券交易所,"Used to confirm current SSE ETF option underlyings listed in the exchange notice: 510050, 510300, 510500, 588000, 588080.","SSE ETF option underlying list",
szse_gem_500_option_launch_2022_09_16,深交所创业板ETF期权和中证500ETF期权上市交易新闻,text,official_exchange,notice,L1,A,fact,primary,CN,web_search,free,event_driven,live,yes,"szse_option_underlyings;159915;159922",https://www.szse.cn/aboutus/trends/news/t20220916_595891.html,2026-05-26,深圳证券交易所,"Used to confirm SZSE GEM ETF option 159915 and CSI 500 ETF option 159922 underlyings.","SZSE GEM and CSI 500 ETF option underlyings",
szse_300_option_launch_2019_12_13,深交所全力保障沪深300ETF期权于12月23日平稳上市交易,text,official_exchange,notice,L1,A,fact,primary,CN,web_search,free,event_driven,live,yes,"szse_option_underlyings;159919",https://www.szse.cn/aboutus/trends/news/t20191213_572597.html,2026-05-26,深圳证券交易所,"Used to confirm SZSE CSI 300 ETF option underlying 159919.","SZSE CSI 300 ETF option underlying",
szse_sz100_option_notice_2022_12_09,深交所深证100ETF期权合约品种上市交易有关事项通知,text,official_exchange,notice,L1,A,fact,primary,CN,web_search,free,event_driven,live,yes,"szse_option_underlyings;159901",https://www.szse.cn/disclosure/notice/general/t20221209_597760.html,2026-05-26,深圳证券交易所,"Used to confirm SZSE 100 ETF option underlying 159901.","SZSE 100 ETF option underlying",
etfrun_sse50_2026_05_25,ETF.run 上证50 index page,structured,market_data,index_weights,L5,B,fact,secondary,CN,web_search,free,monthly,delayed,yes,"sse50;sector_weights;top_holdings",https://www.etf.run/index/SSE/000016,2026-05-26,ETF.run,"Used for top-8 constituent concentration and SW first-level sector weights as of 2026-05-25. Secondary market-data source, not official index file.","SSE 50 weights",
etfrun_csi300_2026_05_25,ETF.run 沪深300 index page,structured,market_data,index_weights,L5,B,fact,secondary,CN,web_search,free,monthly,delayed,yes,"csi300;sector_weights;top_holdings",https://www.etf.run/index/SSE/000300,2026-05-26,ETF.run,"Used for top-8 constituent concentration and SW first-level sector weights as of 2026-05-25. Secondary market-data source, not official index file.","CSI 300 weights",
etfrun_csi500_2026_05_25,ETF.run 中证500 index page,structured,market_data,index_weights,L5,B,fact,secondary,CN,web_search,free,monthly,delayed,yes,"csi500;sector_weights;top_holdings",https://www.etf.run/index/SSE/000905,2026-05-26,ETF.run,"Used for top-8 constituent concentration and SW first-level sector weights as of 2026-05-25. Secondary market-data source, not official index file.","CSI 500 weights",
etfrun_star50_2026_05_25,ETF.run 科创50 index page,structured,market_data,index_weights,L5,B,fact,secondary,CN,web_search,free,monthly,delayed,yes,"star50;sector_weights;top_holdings",https://www.etf.run/index/SSE/000688,2026-05-26,ETF.run,"Used for top-8 constituent concentration and SW first-level sector weights as of 2026-05-25. Secondary market-data source, not official index file.","STAR 50 weights",
etfrun_chinext_2026_05_25,ETF.run 创业板指 index page,structured,market_data,index_weights,L5,B,fact,secondary,CN,web_search,free,monthly,delayed,yes,"chinext;sector_weights;top_holdings",https://www.etf.run/index/SZSE/399006,2026-05-26,ETF.run,"Used for top-8 constituent concentration and SW first-level sector weights as of 2026-05-25. Secondary market-data source, not official index file.","ChiNext Index weights",
cnindex_sz100_factsheet_2026_04,国证指数深证100指数资料页/PDF,text,official_index_provider,factsheet,L2,A,fact,primary,CN,web_search,free,monthly,delayed,yes,"sz100;index_positioning;sector_weights;top_holdings",https://www.cnindex.com.cn/html2pdf/preview/jj_399330.pdf,2026-05-26,深圳证券信息有限公司/国证指数,"Used to confirm SZSE 100 positioning, industry distribution, market distribution and top-10 weights from the 2026-04 index factsheet.","SZSE 100 index factsheet",
