metric,Figure_FIGR_Q1_2026,Upstart_UPST_Q1_2026,read_through
period_end,2026-03-31,2026-03-31,"Comparable quarter-end."
business_position,"Blockchain-native capital marketplace focused on HELOC, Figure Connect, RWA/tokenized credit infrastructure, YLDS and Democratized Prime","AI lending marketplace with personal loans, auto loans, HELOC and bank/funding partner distribution","UPST is not a blockchain peer, but it is a useful marketplace-lending and credit-cycle comp."
volume_scale,"Consumer Loan Marketplace volume $2.90B, +112.6% YoY; ecosystem volume $3.72B, +135.8% YoY","Originations roughly $3.4B, +61% YoY; 425,356 loans, +77% YoY","Both show strong marketplace credit demand; FIGR grew faster from a smaller and more home-equity/RWA-specific base."
revenue_growth,"Adjusted net revenue $166.8M, +91.8% YoY","Total revenue $308M, +44% YoY; fee revenue $277M, +49% YoY","FIGR's revenue growth was stronger, but UPST has larger revenue scale."
profitability,"GAAP net income $45.0M; adjusted EBITDA $82.7M; adjusted EBITDA margin 49.6%","GAAP net loss $6.6M; adjusted EBITDA $40.5M; adjusted EBITDA margin 13%","FIGR's reported margin quality is much stronger this quarter."
unit_economics,"Net take rate 3.8%, up 20 bps YoY; Figure Connect reached 56% of consumer loan volume","Contribution margin 50%, down from 55% YoY","Both have attractive contribution economics, but FIGR's margin expanded while UPST's contribution margin compressed."
balance_sheet_signal,"Cash ex-restricted $1.46B; loans held for sale $504M; current and related-party debt increased sequentially","Cash and restricted cash $931M at Q1-end; loans and funding assets remain meaningful","Both require funding-market confidence; FIGR currently has a larger visible cash buffer after IPO/offerings."
guidance,"Q2 Consumer Loan Marketplace volume guide $3.8B-$4.1B","FY2026 revenue guide about $1.4B and adjusted EBITDA about $294M maintained","FIGR gave high near-term volume momentum; UPST maintained annual guide."
macro_sensitivity,"HELOC/housing values, rates, securitization demand, crypto/RWA regulation and DeFi liquidity","Rates, bank/funding partner appetite, borrower credit quality, securitization markets","Credit cycle and capital-market liquidity are shared risks; FIGR adds digital-asset/RWA regulatory risk."
peer_signal,"High-growth, high-margin quarter with early RWA upside but elevated execution and regulatory complexity","Solid growth, but lower margin and continued GAAP loss","Peer check supports lending marketplace recovery; FIGR appears higher quality this quarter but more narrative-sensitive."

